Кобринский военно-исторический музей имени А. В. Суворова	52.209237	24.355397
Светлогорский историко-краеведческий музей	52.629418	29.757615
Вилейский краеведческий музей	54.49542	26.917733
Государственный музей истории театральной и музыкальной культуры Республики Беларусь	53.90524	27.559464
Музей-усадьба “Пружанский Палацык”	52.565245	24.457508
Несвижский историко-краеведческий музей	53.226881	26.667458
Музей современного изобразительного искусства	53.913929	27.580587
Мемориальный музей-усадьба имени Т. Костюшко	52.767673	25.125459
Узденский районный историко-краеведческий музей	53.460158	27.219286
Мостовский государственный музей “Лес и человек”	53.409185	24.538709
Чериковский историко-краеведческий музей 	53.577576	31.396522
Ветковский музей старообрядчества и белорусских традиций Ф. Г. Шклярова 	52.558108	31.171861
Мстиславский районный историко-археологический музей	54.016488	31.731893
Музей боевого содружества	55.907859	28.810452
Рогачевский музей Народной Славы	53.091736	30.055596
Добрушский районный краеведческий музей	52.419413	31.315823
Бегомльский музей народной славы	54.736032	28.056159
Музей железной дороги в г. Барановичи “Барановичское отделение Белорусской железной дороги”	53.132633	26.03976
Толочинский историко-краеведческий музей	54.40792	29.6935
Круглянский районный историко-краеведческий музей	52.55719	24.997515
Ушачский музей народной славы имени В. Е. Лобанка	55.179488	28.613717
Глубокский историко-этнографический музей	55.142272	27.684506
Бобруйский районный историко-краеведческий музей	53.205931	29.12011
Горецкий районный историко-этнографический музей	54.285164	30.984803
Бобруйский художественный музей	53.146024	29.226337
Осиповичский районный историко-краеведческий музей	53.302077	28.642775
Мозырский объединенный краеведческий музей	52.047862	29.268898
Калинковичский краеведческий музей	52.134848	29.327575
Ивацевичский историко-краеведческий музей	52.710563	25.344939
Краеведческий музей г. Ельска	51.803474	29.157273
Дрибинский районный историко-этнографический музей	54.117984	31.095251
Исторический музей г. Кричева	53.688489	31.711663
Музей битвы за Днепр	51.942311	30.7989
Миорский историко-этнографический музей	55.617613	27.627556
Бешенковичский районный историко-краеведческий музей	55.044196	29.459952
Верхнедвинский историко-краеведческий музей	55.783843	27.935042
Витебский городской музей воинов-интернационалистов	55.165093	30.207101
Глусский районный историко-краеведческий музей	52.897572	28.68046
Гомельский историко-краеведческий музей	52.500166	31.038053
Жабинковский районный историко-краеведческий музей	52.236667	24.007182
Кормянский районный мемориальный музей П. Н. Лепешинского	53.190462	30.871036
Краснопольский районный историко-этнографический музей 	53.338957	31.398463
Лельчицкий районный краеведческий музей	51.777081	28.32284
Лиозненский военно-исторический музей 	55.022998	30.795687
Лунинецкий районный краеведческий музей	52.251394	26.806643
Музей истории и культуры города Новополоцка	55.538053	28.645444
Музей Марка Шагала в Витебске	55.19849	30.20212
Музей-усадьба М. К. Огинского	54.419997	26.523638
Наровлянский историко-этнографический музей 	51.812857	29.491237
Рабочая группа по созданию Смолевичского краеведческого музея	54.029772	28.098167
Районный музейный комплекс имени Наполеона Орды	52.105545	25.388481
Ружанский дворцовый комплекс рода Сапег	52.860004	24.896097
Светлогорская картинная галерея "Традиция" имени Германа Прянишникова	52.626563	29.740084
Сенненский историко-краеведческий музей	54.810919	29.707956
Славгородский районный историко-краеведческий музей	53.446519	31.004909
Хотимский районный краеведческий музей	53.41546	32.581683
Художественно-этнографический музей имени Я. Н. Дроздовича	55.409466	27.726588
Центр истории и культуры Октябрьского района	52.636098	28.880411
Чашникский исторический музей	54.847813	29.173069
